,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,job
0,0.26233907706715875,-0.014537252085429607,-0.10578468087223705,-0.028613545010572377,0.01625131778272841,-0.29117960349218736,0.14752810248613796,0.04600997229652895,0.10382572064840231,-0.024114175365655636,0.07777431978096666,0.03260944307990799,-0.044105395787440965,0.06961665501775986,0.08620045407234206,-0.07503359667826338,0.07236447475731983,0.06365030610999883,0.04482240394734411,-0.05700963618416765,Data Science
1,0.23578648930656837,0.07143399736833658,-0.05357959257554751,-0.10875077254405559,0.028165894374554204,0.02927376555261659,0.23822599174358888,0.15445989089507176,0.04605363960962579,0.09444154724118271,0.05807107829850206,-0.026736014301364852,0.034898734196460224,-0.004817911105863354,0.043133610459617694,-0.050833906049923445,0.022262001604532164,0.02283792108647815,0.04966901370713581,-0.039426046619375286,Data Science
2,0.35956611960010454,0.10382126283012803,-0.019466583989616655,-0.1824310263127231,0.09734943698627516,0.019817798753600267,0.23741158692230221,0.06729577823096301,0.11651246930489312,0.08325057962617013,0.03475034627502489,-0.06343749033022766,0.01571327001182895,0.007060209991321902,0.07173304790173715,-0.013020920615971569,-0.03931853164168544,0.0637858016564757,0.029917682498151642,-0.04314168243758518,Data Science
3,0.34210120936402666,-0.05351284324765215,-0.10049923313085814,-0.01764479847512412,0.011027695528088155,-0.22403882508397044,0.1732637413277394,0.05890904526800679,0.04398786427229293,0.010256475369998023,0.010054742737714999,-0.05501528985944267,-0.06520937522290898,0.017937548005783854,0.057562752444429266,-0.0643665761336093,-0.003682193159363905,0.011635302507524242,0.05272770437417119,-0.0527649627290192,Data Science
4,0.38773377431064066,0.2187997101812951,-0.03339544123021447,-0.1861372807750408,-0.031607631221372556,0.10749853566872976,0.3412164536980457,0.18720865569125236,0.07258616093900236,0.1793365091453497,0.06528530301373152,-0.018438720626184346,0.05192259610529562,-0.025245541330452936,0.04819529351544068,-0.02496250734880934,0.025634068669742313,0.052697096216793464,0.04528832139670483,-0.17392348529995236,Data Science
5,0.32212331121649246,0.10452854738174382,-0.03685658604383663,-0.2026514234853881,0.09894481514292987,0.06357501976050056,0.27334791710179746,0.16982130539692217,0.16718861055131,0.12486615875911014,0.069100110339969,0.021444328956415418,0.027397142387123447,-0.02038354701194365,0.004396354685331868,-0.14305114602223562,0.06412341368616291,0.0170294644729108,0.04102530721023769,-0.048037970134074924,Data Science
6,0.33403980409306205,0.003431998093570733,-0.12504121263606424,-0.11642702335756078,0.10209513563657593,-0.22406411772107207,0.3089938761479739,0.18260324456349059,0.1658277657050917,0.04489900610001178,0.14909559372618553,-0.02258200131376625,-0.04473800685651582,0.059262698788003554,0.08118645414205168,-0.18096227892853597,0.03987893003890227,-0.01943525603755121,0.09179608975012625,-0.04440186479893654,Data Science
7,0.28825071680473857,-0.03063611535676471,-0.08323505362321643,-0.10740824114550626,0.11613920293539416,-0.23352000922637572,0.22337448462169687,0.10560462053541768,0.12193737917071061,-0.010000060690921282,0.10539991963551812,-0.010573271588736066,-0.04061198759884159,0.015975264766516426,0.09085736698392732,-0.14425217233502213,0.1320088007998684,0.036390313668158245,-0.03368937320300103,0.0885057620879967,Data Science
8,0.2769428643379721,-0.017286129224766293,-0.06696397484766953,-0.1307219123705291,0.17636860103813953,-0.21819096987044495,0.17041721243556693,0.03152259249293632,0.1511896279144462,-0.08248618052119086,0.08593692035981375,-0.04938804938240891,-0.004140304318985998,0.0512961774992826,0.03461051105522227,-0.14764827837588185,0.1778094192230573,0.08889535264560654,-0.013084310844032186,0.08116354660977747,Data Science
9,0.3286074713700256,-0.03591588505577495,-0.14171795055654765,-0.10806915758803275,0.08067500942281577,-0.2379488391650332,0.30864019842014434,0.15766524742440982,0.1905550926975872,-0.020631680894867117,0.15047637067836703,-0.04626607064592136,-0.04938196216589053,0.05145531845696615,0.050337362372307994,-0.16195123968656752,0.07289447863971535,0.03531692011427152,0.08049607984458974,-0.08982425081818117,Data Science
